匿名ID,评级(好/中/差)
A01,差
A02,差
A03,中
A04,好
A05,差
A06,差
A07,差
A08,好
A09,差
A10,差
A11,好
A12,中
A13,差
A14,好
A15,差
A16,差
A17,好
A18,差
